Locustag	Gene	FeatureType	Description
ECB_00459	glxR	CDS	tartronate semialdehyde reductase, NADH-dependent
ECB_00460	ybbV	CDS	hypothetical protein
ECB_00461	allP	CDS	predicted allantoin transporter
ECB_00462	allB	CDS	allantoinase
ECB_00463	ybbY	CDS	predicted uracil/xanthine transporter
ECB_00464	glxK	CDS	glycerate kinase II
ECB_00465	ylbA	CDS	hypothetical protein
ECB_00466	allC	CDS	N-carbamoyl-L-amino acid amidohydrolase
ECB_00467	allD	CDS	ureidoglycolate dehydrogenase
ECB_00468	fdrA	CDS	membrane protein FdrA
ECB_00469	ylbE	CDS	hypothetical protein
ECB_00470	ylbF	CDS	hypothetical protein
ECB_00471	arcC	CDS	predicted carbamate kinase
ECB_00472	purK	CDS	phosphoribosylaminoimidazole carboxylase
ECB_00473	purE	CDS	phosphoribosylaminoimidazole carboxylase catalytic subunit
ECB_00474	ybbF	CDS	UDP-2,3-diacylglucosamine hydrolase
ECB_00475	ppiB	CDS	peptidyl-prolyl cis-trans isomerase B (rotamase B)
ECB_00476	cysS	CDS	cysteinyl-tRNA synthetase
ECB_00477	ybcI	CDS	conserved inner membrane protein
ECB_00478	ybcJ	CDS	predicted RNA-binding protein
ECB_00479	folD	CDS	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase
ECB_00480	sfmA	CDS	predicted fimbrial-like adhesin protein
ECB_00481	sfmC	CDS	pilin chaperone, periplasmic
ECB_00482	sfmD	CDS	predicted outer membrane export usher protein
ECB_00483	sfmH	CDS	predicted fimbrial-like adhesin protein
ECB_00484	sfmF	CDS	predicted fimbrial-like adhesin protein
ECB_00485	fimZ	CDS	predicted DNA-binding transcriptional regulator
ECB_00486	intD	CDS	predicted integrase
ECB_00487		CDS	Excisionase
ECB_00488		CDS	conserved hypothetical protein
ECB_00489		CDS	conserved hypothetical protein
ECB_00490		CDS	putative DNA N-6-adenine-methyltransferase of bacteriophage
ECB_00492	renD	CDS	predicted protein
ECB_00493	emrE	CDS	multidrug efflux protein
ECB_00494	ybcK	CDS	predicted recombinase
ECB_00495	ybcL	CDS	predicted kinase inhibitor
ECB_00496	ybcM	CDS	predicted DNA-binding transcriptional regulator
ECB_00497	ybcN	CDS	predicted protein
ECB_00498	ninE	CDS	conserved hypothetical protein
ECB_00499	ybcO	CDS	predicted protein
ECB_00500	rus	CDS	endonuclease RUS
ECB_00501	ylcG	CDS	predicted protein
ECB_00502	ybcQ	CDS	predicted antitermination protein
ECB_00504	insB-6	CDS	IS1 protein InsB
ECB_00505	insA-6	CDS	IS1 protein InsA
ECB_00506	ybcR	CDS	predicted phage lysis protein
ECB_00507	ybcS	CDS	predicted lysozyme
ECB_00508	ybcT	CDS	predicted murein endopeptidase
ECB_00509	ybcU	CDS	predicted lipoprotein
ECB_00510		CDS	conserved hypothetical protein
ECB_00511	nohB	CDS	DNA packaging protein
ECB_00512		CDS	putative tail component of prophage
ECB_00513		CDS	conserved hypothetical protein
ECB_00514		CDS	conserved hypothetical protein
ECB_00515		CDS	conserved hypothetical protein
ECB_00516		CDS	conserved hypothetical protein
ECB_00517		CDS	conserved hypothetical protein
ECB_00518	appY	CDS	DNA-binding transcriptional activator
ECB_00519	ompT	CDS	outer membrane protease VII (outer membrane protein 3b)
ECB_00520	envY	CDS	DNA-binding transcriptional activator of porin biosynthesis
ECB_00521	ybcH	CDS	hypothetical protein
ECB_00522	nfrA	CDS	bacteriophage N4 receptor, outer membrane subunit
ECB_00524		CDS	bacteriophage N4 receptor, inner membrane subunit
ECB_00525	yhhI-2	CDS	predicted transposase
ECB_00526		CDS	hypothetical protein
ECB_00527		CDS	hypothetical protein
ECB_00528		CDS	hypothetical protein
ECB_00529		CDS	hypothetical protein
ECB_00530		CDS	conserved hypothetical protein
ECB_00531	cusS	CDS	sensory histidine kinase in two-component regulatory system with CusR, senses copper ions
ECB_00532	cusR	CDS	DNA-binding response regulator in two-component regulatory system with CusS
ECB_00533	cusC	CDS	copper/silver efflux system, outer membrane component
ECB_00534	ylcC	CDS	periplasmic copper-binding protein
ECB_00535	cusB	CDS	copper/silver efflux system, membrane fusion protein
ECB_00536	cusA	CDS	copper/silver efflux system, membrane component
ECB_00537	pheP	CDS	phenylalanine transporter
ECB_00538	ybdG	CDS	predicted mechanosensitive channel
ECB_00539	nfnB	CDS	dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive
ECB_00540	ybdF	CDS	hypothetical protein
ECB_00541	ybdJ	CDS	predicted inner membrane protein
ECB_00542	ybdK	CDS	gamma-glutamyl:cysteine ligase
ECB_00543	insJ-1	CDS	IS150 hypothetical protein
ECB_00545	insB-7	CDS	IS1 protein insB
ECB_00546	insA-7	CDS	IS1 protein InsA
ECB_00547	hokE	CDS	toxic polypeptide, small
ECB_00548	insL-3	CDS	IS186 hypothetical protein
ECB_00549	entD	CDS	phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex
ECB_00550	fepA	CDS	iron-enterobactin outer membrane transporter
ECB_00551	fes	CDS	enterobactin/ferric enterobactin esterase
ECB_00552	ybdZ	CDS	hypothetical protein
ECB_00553	entF	CDS	enterobactin synthase multienzyme complex component, ATP-dependent
ECB_00554	fepE	CDS	regulator of length of O-antigen component of lipopolysaccharide chains
ECB_00555	fepC	CDS	iron-enterobactin transporter subunit
ECB_00556	fepG	CDS	iron-enterobactin transporter subunit
ECB_00557	fepD	CDS	iron-enterobactin transporter subunit
ECB_00558	ybdA	CDS	predicted transporter
ECB_00559	fepB	CDS	iron-enterobactin transporter subunit
ECB_00560	entC	CDS	isochorismate synthase
ECB_00561	entE	CDS	2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex
ECB_00562	entB	CDS	isochorismatase
ECB_00563	entA	CDS	2,3-dihydroxybenzoate-2,3-dehydrogenase
ECB_00564	ybdB	CDS	hypothetical protein
ECB_00566	ybdD	CDS	hypothetical protein
ECB_00567	ybdH	CDS	predicted oxidoreductase
ECB_00568	ybdL	CDS	putative aminotransferase
ECB_00569	ybdM	CDS	hypothetical protein
ECB_00570	ybdN	CDS	hypothetical protein
ECB_00571	insB-8	CDS	IS1 protein InsB
ECB_00572	insA-8	CDS	IS1 protein InsA
ECB_00573	dsbG	CDS	periplasmic disulfide isomerase/thiol-disulphide oxidase
ECB_00574	ahpC	CDS	alkyl hydroperoxide reductase, C22 subunit
ECB_00575	ahpF	CDS	alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding
ECB_00576	ybdQ	CDS	universal stress protein UP12
ECB_00577	ybdR	CDS	predicted oxidoreductase, Zn-dependent and NAD(P)-binding
ECB_00578	rnk	CDS	nucleoside diphosphate kinase regulator
ECB_00579	rna	CDS	ribonuclease I
ECB_00580	citT	CDS	citrate:succinate antiporter
ECB_00581	citG	CDS	triphosphoribosyl-dephospho-CoA transferase
ECB_00582	citX	CDS	2'-(5'-triphosphoribosyl)-3'-dephospho-CoA:apo- citrate lyase
ECB_00583	citF	CDS	citrate lyase, citrate-ACP transferase (alpha) subunit
ECB_00584	citE	CDS	citrate lyase, citryl-ACP lyase (beta) subunit
ECB_00585	citD	CDS	citrate lyase, acyl carrier (gamma) subunit
ECB_00586	citC	CDS	citrate lyase synthetase
ECB_00587	insB-9	CDS	IS1 protein InsB
ECB_00588	insA-9	CDS	IS1 protein InsA
ECB_00589	citA	CDS	sensory histidine kinase in two-component regulatory system with citB
ECB_00590	citB	CDS	DNA-binding response regulator in two-component regulatory system with citA
ECB_00591	dcuC	CDS	anaerobic C4-dicarboxylate transport
ECB_00592	crcA	CDS	palmitoyl transferase for Lipid A
ECB_00593	cspE	CDS	cold shock protein E
ECB_00594	ccrB	CDS	camphor resistance protein CrcB
ECB_00595	ybeM	CDS	putative NAD(P)-binding amidase-type enzyme YbeM (C-N hydrolase family)
ECB_00596	tatE	CDS	twin arginine translocase protein E
ECB_00597	lipA	CDS	lipoyl synthase
ECB_00598	ybeF	CDS	predicted DNA-binding transcriptional regulator
ECB_00599	lipB	CDS	lipoyltransferase
ECB_00600	ybeD	CDS	hypothetical protein
ECB_00601	dacA	CDS	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)
ECB_00602	rlpA	CDS	minor lipoprotein
ECB_00603	mrdB	CDS	cell wall shape-determining protein
ECB_00604	mrdA	CDS	transpeptidase involved in peptidoglycan synthesis (penicillin-binding protein 2)
ECB_00605	ybeA	CDS	hypothetical protein
ECB_00606	ybeB	CDS	hypothetical protein
ECB_00607	phpB	CDS	predicted alpha-ribazole-5'-P phosphatase
ECB_00608	nadD	CDS	nicotinic acid mononucleotide adenyltransferase
ECB_00609	holA	CDS	DNA polymerase III subunit delta
ECB_00610	rlpB	CDS	minor lipoprotein
ECB_00611	leuS	CDS	leucyl-tRNA synthetase
ECB_00612	ybeL	CDS	hypothetical protein
ECB_00614	ybeR	CDS	hypothetical protein
ECB_00615	ybeV	CDS	Hsc56 co-chaperone of HscC
ECB_00616	hscC	CDS	Hsp70 family chaperone Hsc62, binds to RpoD and inhibits transcription
ECB_00617	rihA	CDS	ribonucleoside hydrolase 1
ECB_00619	insJ-2	CDS	IS150 hypothetical protein
ECB_00620	insK-2	CDS	IS150 putative transposase
ECB_00621	gltK	CDS	glutamate and aspartate transporter subunit
ECB_00622	gltJ	CDS	glutamate and aspartate transporter subunit
ECB_00623	gltI	CDS	glutamate and aspartate transporter subunit
ECB_00624		CDS	conserved hypothetical protein
ECB_00625	lnt	CDS	apolipoprotein N-acyltransferase
ECB_00626	ybeX	CDS	predicteed ion transport
ECB_00627	ybeY	CDS	hypothetical protein
ECB_00628	ybeZ	CDS	predicted protein with nucleoside triphosphate hydrolase domain
ECB_00629	yleA	CDS	isopentenyl-adenosine A37 tRNA methylthiolase
ECB_00630	ubiF	CDS	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase
ECB_00631	asnB	CDS	asparagine synthetase B
ECB_00632	nagD	CDS	UMP phosphatase
ECB_00633	nagC	CDS	DNA-binding transcriptional dual regulator, repressor of N-acetylglucosamine
ECB_00634	nagA	CDS	N-acetylglucosamine-6-phosphate deacetylase
ECB_00635	nagB	CDS	glucosamine-6-phosphate deaminase
ECB_00636	nagE	CDS	fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components
ECB_00637	glnS	CDS	glutaminyl-tRNA synthetase
ECB_00638	ybfM	CDS	predicted outer membrane porin
ECB_00639	ybfN	CDS	predicted lipoprotein
ECB_00640	fur	CDS	ferric uptake regulator
ECB_00641	fldA	CDS	flavodoxin 1
ECB_00642	ybfE	CDS	LexA regulated protein
ECB_00643	ybfF	CDS	hypothetical protein
ECB_00644	seqA	CDS	regulatory protein for replication initiation
ECB_00645	pgm	CDS	phosphoglucomutase
ECB_00646	ybfP	CDS	hypothetical protein
ECB_00647	ybfGH	CDS	hypothetical protein
ECB_00648	potE	CDS	putrescine/proton symporter: putrescine/ornithine antiporter
ECB_00649	speF	CDS	ornithine decarboxylase isozyme, inducible
ECB_00650		CDS	conserved hypothetical protein
ECB_00651	kdpE	CDS	DNA-binding response regulator in two-component regulatory system with KdpD
ECB_00652	kdpD	CDS	fused sensory histidine kinase in two-component regulatory system with KdpE: signal sensing protein
ECB_00653	kdpC	CDS	potassium-transporting ATPase subunit C
ECB_00654	kdpB	CDS	potassium-transporting ATPase subunit B
ECB_00655	kdpA	CDS	potassium-transporting ATPase subunit A
ECB_00656	kdpF	CDS	potassium ion accessory transporter subunit
ECB_00657	ybfA	CDS	hypothetical protein
ECB_00658	rhsC	CDS	rhsC element core protein RshC
ECB_00659	ybfB	CDS	predicted inner membrane protein
ECB_00660	ybfO	CDS	conserved hypothetical protein, rhs-like protein
ECB_00661	ybfC	CDS	hypothetical protein
ECB_00662		CDS	conserved hypothetical protein
ECB_00663		CDS	hypothetical protein
ECB_00664		CDS	hypothetical protein
ECB_00666	ybfD	CDS	hypothetical protein
ECB_00667	ybgA	CDS	hypothetical protein
ECB_00668	phrB	CDS	deoxyribodipyrimidine photolyase, FAD-binding
ECB_00669	ybgH	CDS	predicted transporter
ECB_00670	ybgI	CDS	conserved metal-binding protein
ECB_00671	ybgJ	CDS	predicted enzyme subunit
ECB_00672	ybgK	CDS	predicted enzyme subunit
ECB_00673	ybgL	CDS	hypothetical protein
ECB_00674	nei	CDS	endonuclease VIII/ 5-formyluracil/5-hydroxymethyluracil DNA glycosylase
ECB_00675	abrB	CDS	predicted regulator
ECB_00676	ybgO	CDS	predicted fimbrial-like adhesin protein
ECB_00677	ybgP	CDS	predicted assembly protein
ECB_00678	ybgQ	CDS	predicted outer membrane protein
ECB_00679	ybgD	CDS	predicted fimbrial-like adhesin protein
ECB_00680	gltA	CDS	citrate synthase
ECB_00681	sdhC	CDS	succinate dehydrogenase cytochrome b556 large membrane subunit
ECB_00682	sdhD	CDS	succinate dehydrogenase cytochrome b556 small membrane subunit
ECB_00683	sdhA	CDS	succinate dehydrogenase flavoprotein subunit
ECB_00684	sdhB	CDS	succinate dehydrogenase, FeS subunit
ECB_00685	sucA	CDS	alpha-ketoglutarate decarboxylase
ECB_00686	sucB	CDS	dihydrolipoamide acetyltransferase
ECB_00687	sucC	CDS	succinyl-CoA synthetase subunit beta
ECB_00688	sucD	CDS	succinyl-CoA synthetase subunit alpha
ECB_00689	farR	CDS	DNA-binding transcriptional dual regulator, fatty-acyl-binding
ECB_00690	hrsA	CDS	fused 2-O-a-mannosyl-D-glycerate specific PTS enzymes: IIA component/IIB component/IIC component
ECB_00691	ybgG	CDS	alpha-mannosidase
ECB_00692	cydA	CDS	cytochrome d terminal oxidase, subunit I
ECB_00693	cydB	CDS	cytochrome d terminal oxidase, subunit II
ECB_00694	ybgT	CDS	hypothetical protein
ECB_00695	ybgE	CDS	conserved inner membrane protein
ECB_00696	ybgC	CDS	predicted acyl-CoA thioesterase
ECB_00697	tolQ	CDS	membrane spanning protein in TolA-TolQ-TolR complex
ECB_00698	tolR	CDS	membrane spanning protein in TolA-TolQ-TolR complex
ECB_00699	tolA	CDS	cell envelope integrity inner membrane protein TolA
ECB_00700	tolB	CDS	translocation protein TolB precursor
ECB_00701	pal	CDS	peptidoglycan-associated outer membrane lipoprotein
ECB_00702	ybgF	CDS	hypothetical protein
ECB_00703	nadA	CDS	quinolinate synthetase
ECB_00704	pnuC	CDS	predicted nicotinamide mononucleotide transporter
ECB_00705	ybgR	CDS	zinc transporter ZitB
ECB_00706	ybgS	CDS	hypothetical protein
ECB_00707	aroG	CDS	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, phenylalanine repressible
ECB_00708	gpmA	CDS	phosphoglyceromutase
ECB_00709	galM	CDS	galactose-1-epimerase (mutarotase)
ECB_00710	galK	CDS	galactokinase
ECB_00711	galT	CDS	galactose-1-phosphate uridylyltransferase
ECB_00712	galE	CDS	UDP-galactose-4-epimerase
ECB_00713	modF	CDS	fused molybdate transporter subunits of ABC superfamily: ATP-binding components
ECB_00714	modE	CDS	DNA-binding transcriptional dual regulator
ECB_00715	ybhT	CDS	hypothetical protein
ECB_00716	modA	CDS	molybdate transporter subunit
ECB_00717	modB	CDS	molybdate ABC transporter permease protein
ECB_00718	modC	CDS	molybdate transporter subunit
ECB_00719	ybhA	CDS	predicted hydrolase
ECB_00720	ybhE	CDS	6-phosphogluconolactonase
ECB_00721	ybhD	CDS	predicted DNA-binding transcriptional regulator
ECB_00722	ybhH	CDS	hypothetical protein
ECB_00723	ybhI	CDS	predicted transporter
ECB_00724	ybhJ	CDS	predicted hydratase
ECB_00725	ybhC	CDS	predicted pectinesterase
ECB_00726		CDS	integrase
ECB_00727		CDS	phage related protein
ECB_00728		CDS	conserved hypothetical protein
ECB_00729		CDS	hypothetical protein
ECB_00730		CDS	putative Rz1 lytic protein
ECB_00731		CDS	conserved hypothetical protein
ECB_00732		CDS	conserved hypothetical protein
ECB_00733		CDS	conserved hypothetical protein
ECB_00734		CDS	putative bacteriophage protein
ECB_00735		CDS	hypothetical protein
ECB_00736		CDS	hypothetical protein
ECB_00737		CDS	hypothetical protein
ECB_00738		CDS	hypothetical protein
ECB_00739		CDS	hypothetical protein
ECB_00740	ybhB	CDS	predicted kinase inhibitor
ECB_00741	bioA	CDS	adenosylmethionine-8-amino-7-oxononanoate transaminase
ECB_00742	bioB	CDS	biotin synthase
ECB_00743	bioF	CDS	8-amino-7-oxononanoate synthase
ECB_00744	bioC	CDS	predicted methltransferase, enzyme of biotin synthesis
ECB_00745	bioD	CDS	dethiobiotin synthetase
ECB_00746	uvrB	CDS	excinuclease ABC subunit B
ECB_00747	ybhK	CDS	predicted transferase with NAD(P)-binding Rossmann-fold domain
ECB_00748	moaA	CDS	molybdenum cofactor biosynthesis protein A
ECB_00749	moaB	CDS	molybdopterin biosynthesis protein B
ECB_00750	moaC	CDS	molybdenum cofactor biosynthesis protein C
ECB_00751	moaD	CDS	molybdopterin synthase, small subunit
ECB_00752	moaE	CDS	molybdopterin synthase, large subunit
ECB_00753	ybhL	CDS	predicted inner membrane protein
ECB_00754	ybhM	CDS	conserved inner membrane protein
ECB_00755	ybhN	CDS	conserved inner membrane protein
ECB_00756	ybhO	CDS	cardiolipin synthase 2
ECB_00757	ybhP	CDS	predicted DNase
ECB_00758	ybhQ	CDS	predicted inner membrane protein
ECB_00759	ybhR	CDS	predicted transporter subunit: membrane component of ABC superfamily
ECB_00760	ybhS	CDS	predicted transporter subunit: membrane component of ABC superfamily
ECB_00761	ybhF	CDS	fused predicted transporter subunits of ABC superfamily: ATP-binding components
ECB_00762	ybhG	CDS	hypothetical protein
ECB_00763	ybiH	CDS	predicted DNA-binding transcriptional regulator
ECB_00764	rhlE	CDS	RNA helicase
ECB_00765	ybiA	CDS	hypothetical protein
ECB_00766	dinG	CDS	ATP-dependent DNA helicase
ECB_00767	ybiB	CDS	hypothetical protein
ECB_00768	ybiC	CDS	predicted dehydrogenase
ECB_00769	ybiJ	CDS	hypothetical protein
ECB_00770	ybiI	CDS	hypothetical protein
ECB_00771	ybiX	CDS	putative hydroxylase
ECB_00772	ybiL	CDS	predicted iron outer membrane transporter
ECB_00773	ybiM	CDS	hypothetical protein
ECB_00774	ybiN	CDS	predicted SAM-dependent methyltransferase
ECB_00775	ybiO	CDS	predicted mechanosensitive channel
ECB_00776	glnQ	CDS	glutamine ABC transporter ATP-binding protein
ECB_00777	glnP	CDS	glutamine ABC transporter permease protein
ECB_00778	glnH	CDS	glutamine ABC transporter periplasmic protein
ECB_00779	dps	CDS	DNA protection protein
ECB_00780	ybiF	CDS	threonine and homoserine efflux system
ECB_00781	ompX	CDS	outer membrane protein X
ECB_00782	ybiP	CDS	predicted hydrolase, inner membrane
ECB_00783		CDS	hypothetical protein
ECB_00784	mntR	CDS	DNA-binding transcriptional regulator of mntH
ECB_00785	ybiR	CDS	predicted transporter
ECB_00786	ybiS	CDS	hypothetical protein
ECB_00787	ybiT	CDS	fused predicted transporter subunits of ABC superfamily: ATP-binding components
ECB_00788	ybiU	CDS	hypothetical protein
ECB_00789	ybiV	CDS	predicted hydrolase
ECB_00790	ybiW	CDS	predicted pyruvate formate lyase
ECB_00791	ybiY	CDS	predicted pyruvate formate lyase activating enzyme
ECB_00792	fsa	CDS	fructose-6-phosphate aldolase 1
ECB_00793	moeB	CDS	molybdopterin biosynthesis protein MoeB
ECB_00794	moeA	CDS	molybdopterin biosynthesis protein
ECB_00795	ybiK	CDS	L-asparaginase
ECB_00796	yliA	CDS	fused predicted peptide transport subunits of ABC superfamily: ATP-binding components
ECB_00797	yliB	CDS	predicted peptide transporter subunit: periplasmic-binding component of ABC superfamily
ECB_00798	yliC	CDS	predicted peptide transporter subunit: membrane component of ABC superfamily
ECB_00799	yliD	CDS	predicted peptide transporter subunit: membrane component of ABC superfamily
ECB_00800	yliE	CDS	conserved inner membrane protein
ECB_00801	yliF	CDS	predicted diguanylate cyclase
ECB_00802	yliG	CDS	predicted SAM-dependent methyltransferase
ECB_00803	yliH	CDS	hypothetical protein
ECB_00804	yliI	CDS	predicted dehydrogenase
ECB_00805	yliJ	CDS	predicted glutathione S-transferase
ECB_00806	dacC	CDS	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 6a)
ECB_00807	deoR	CDS	DNA-binding transcriptional repressor
ECB_00808	ybjG	CDS	undecaprenyl pyrophosphate phosphatase
ECB_00809	cmr	CDS	multidrug efflux system protein
ECB_00810	ybjH	CDS	hypothetical protein
ECB_00811	ybjI	CDS	hypothetical protein
ECB_00812	ybjJ	CDS	predicted transporter
ECB_00813	ybjK	CDS	predicted DNA-binding transcriptional regulator
ECB_00814		CDS	conserved hypothetical protein
ECB_00815		CDS	integrase for prophage
ECB_00816		CDS	conserved hypothetical protein
ECB_00817		CDS	Repressor protein
ECB_00818		CDS	conserved hypothetical protein
ECB_00819		CDS	conserved hypothetical protein
ECB_00820		CDS	conserved hypothetical protein
ECB_00821		CDS	conserved hypothetical protein
ECB_00822		CDS	conserved hypothetical protein
ECB_00823		CDS	conserved hypothetical protein
ECB_00824		CDS	retron EC67 DNA adenine methylase-like protein
ECB_00825		CDS	putative replication protein for prophage
ECB_00826		CDS	conserved hypothetical protein
ECB_00827		CDS	Prophage protein
ECB_00828		CDS	conserved hypothetical protein
ECB_00829		CDS	conserved hypothetical protein
ECB_00830		CDS	hypothetical protein
ECB_00831		CDS	retron EC86 RNA-directed DNA polymerase-like protein
ECB_00832		CDS	probable capsid portal protein
ECB_00833		CDS	Terminase, ATPase subunit
ECB_00834		CDS	putative capsid scaffolding protein
ECB_00835		CDS	conserved hypothetical protein
ECB_00836		CDS	putative Regulatory protein
ECB_00837		CDS	Fels-2 prophage protein
ECB_00838		CDS	putative phage tail protein
ECB_00839		CDS	putative phage tail protein
ECB_00840		CDS	hypothetical protein
ECB_00841		CDS	hypothetical protein
